wiki_ID,char_words,order
975900,Lieutenant,
7668793,Lieutenant,27.0
24226493,Lieutenant,2.0
3388805,Lieutenant,3.0
3388805,Lieutenant,6.0
8231713,Lieutenant,3.0
30920276,Lieutenant,1.0
7133211,Lieutenant,18.0
19767434,Lieutenant,11.0
1328188,Lieutenant,14.0
1328188,Lieutenant,25.0
6641561,Lieutenant,
1148228,Lieutenant,3.0
24491249,Lieutenant,2.0
46505,Lieutenant,17.0
481649,Lieutenant,
34037117,Lieutenant,
12636214,Lieutenant,8.0
12636214,Lieutenant,9.0
21684023,Lieutenant,
28327,Lieutenant,7.0
28327,Lieutenant,8.0
28327,Lieutenant,20.0
29836631,Lieutenant,
7788006,Lieutenant,
19268430,Lieutenant,1.0
6250660,Lieutenant,
10742864,Lieutenant,
9487056,Lieutenant,1.0
23410377,Lieutenant,
27382757,Lieutenant,5.0
2595680,Lieutenant,2.0
20765561,Lieutenant,
3461278,Lieutenant,0.0
1584998,Lieutenant,
14884989,Lieutenant,
161190,Lieutenant,10.0
10671108,Lieutenant,3.0
1238102,Lieutenant,
30862978,Lieutenant,0.0
345105,Lieutenant,4.0
18774910,Lieutenant,18.0
1343165,Lieutenant,17.0
1343165,Lieutenant,19.0
7223822,Lieutenant,2.0
36465188,Lieutenant,2.0
26334071,Lieutenant,
21109961,Lieutenant,5.0
21109961,Lieutenant,9.0
2910322,Lieutenant,
33402172,Lieutenant,5.0
14725310,Lieutenant,4.0
14725310,Lieutenant,5.0
14725310,Lieutenant,9.0
1252259,Lieutenant,3.0
7081597,Lieutenant,1.0
341538,Lieutenant,3.0
1770836,Lieutenant,7.0
14512268,Lieutenant,
31952713,Lieutenant,
1128661,Lieutenant,0.0
172534,Lieutenant,0.0
367085,Lieutenant,
6223567,Lieutenant,7.0
10185770,Lieutenant,
129585,Lieutenant,0.0
129585,Lieutenant,7.0
17608318,Lieutenant,3.0
26368328,Lieutenant,11.0
35101788,Lieutenant,9.0
77685,Lieutenant,2.0
77685,Lieutenant,12.0
1022698,Lieutenant,
26284204,Lieutenant,
649482,Lieutenant,10.0
8994,Lieutenant,0.0
8994,Lieutenant,1.0
33948002,Lieutenant,16.0
29785,Lieutenant,16.0
18895212,Lieutenant,3.0
89397,Lieutenant,45.0
89397,Lieutenant,57.0
89397,Lieutenant,73.0
89397,Lieutenant,90.0
89397,Lieutenant,91.0
3709021,Lieutenant,10.0
36245692,Lieutenant,3.0
41528,Lieutenant,2.0
41528,Lieutenant,113.0
3837375,Lieutenant,25.0
24314116,Lieutenant,
24658454,Lieutenant,1.0
24658454,Lieutenant,2.0
18951054,Lieutenant,6.0
18951054,Lieutenant,11.0
18951054,Lieutenant,20.0
34930722,Lieutenant,
12283093,Lieutenant,
1076789,Lieutenant,
15625046,Lieutenant,
27345864,Lieutenant,0.0
7354153,Lieutenant,
1689394,Lieutenant,
16309183,Lieutenant,11.0
15938122,Lieutenant,20.0
4338749,Lieutenant,11.0
33495307,Lieutenant,
20713868,Lieutenant,
26866490,Lieutenant,12.0
14013923,Lieutenant,
129295,Lieutenant,26.0
8695,Lieutenant,
113460,Lieutenant,
14760799,Lieutenant,0.0
14760799,Lieutenant,1.0
545187,Lieutenant,
22318957,Lieutenant,4.0
4440277,Lieutenant,5.0
12498936,Lieutenant,0.0
238906,Lieutenant,
32427135,Lieutenant,
675832,Lieutenant,6.0
675832,Lieutenant,28.0
23795488,Lieutenant,
14127869,Lieutenant,4.0
5679960,Lieutenant,
11142316,Lieutenant,3.0
3191002,Lieutenant,
12135919,Lieutenant,10.0
12135919,Lieutenant,15.0
18725026,Lieutenant,
21848857,Lieutenant,0.0
29129487,Lieutenant,
3911312,Lieutenant,44.0
26806217,Lieutenant,
1190590,Lieutenant,
19062669,Lieutenant,4.0
19062669,Lieutenant,17.0
1139763,Lieutenant,5.0
1145800,Lieutenant,8.0
10552268,Lieutenant,32.0
21031907,Lieutenant,3.0
418110,Lieutenant,16.0
418110,Lieutenant,17.0
5531995,Lieutenant,1.0
5334800,Lieutenant,10.0
962431,Lieutenant,14.0
962431,Lieutenant,24.0
962431,Lieutenant,26.0
620034,Lieutenant,0.0
4821517,Lieutenant,
20331301,Lieutenant,4.0
33064132,Lieutenant,7.0
612803,Lieutenant,
21249371,Lieutenant,1.0
2198959,Lieutenant,3.0
5794648,Lieutenant,10.0
3830281,Lieutenant,3.0
3830281,Lieutenant,17.0
7845053,Lieutenant,13.0
7845053,Lieutenant,14.0
7845053,Lieutenant,17.0
7845053,Lieutenant,21.0
7845053,Lieutenant,23.0
7845053,Lieutenant,24.0
19250997,Lieutenant,9.0
13409931,Lieutenant,
4266695,Lieutenant,5.0
1295625,Lieutenant,7.0
22315908,Lieutenant,
672934,Lieutenant,8.0
14404921,Lieutenant,1.0
24165842,Lieutenant,12.0
27097,Lieutenant,2.0
27097,Lieutenant,3.0
27097,Lieutenant,4.0
27097,Lieutenant,10.0
27097,Lieutenant,11.0
30327,Lieutenant,4.0
15056534,Lieutenant,3.0
4592959,Lieutenant,
27352110,Lieutenant,3.0
3701905,Lieutenant,22.0
6551171,Lieutenant,6.0
22528658,Lieutenant,1.0
20917102,Lieutenant,
786972,Lieutenant,8.0
171026,Lieutenant,5.0
12000,Lieutenant,4.0
11925733,Lieutenant,
1428048,Lieutenant,36.0
11020906,Lieutenant,
30863819,Lieutenant,17.0
25567261,Lieutenant,
28834684,Lieutenant,
509987,Lieutenant,9.0
24051463,Lieutenant,13.0
26508343,Lieutenant,5.0
28084941,Lieutenant,
5971762,Lieutenant,9.0
975900,Melanie,0.0
394792,Melanie,3.0
4173594,Melanie,1.0
10133100,Melanie,1.0
10133100,Melanie,14.0
8982671,Melanie,1.0
1934018,Melanie,4.0
238810,Melanie,11.0
4362030,Melanie,1.0
4362030,Melanie,3.0
1484119,Melanie,
10542644,Melanie,
3862631,Melanie,2.0
1192770,Melanie,1.0
2804704,Melanie,2.0
231486,Melanie,0.0
231486,Melanie,17.0
29545870,Melanie,
2423462,Melanie,0.0
1721255,Melanie,4.0
4595569,Melanie,1.0
23438736,Melanie,
20765579,Melanie,2.0
4078865,Melanie,11.0
20985883,Melanie,10.0
19250235,Melanie,13.0
24384740,Melanie,2.0
2654186,Melanie,13.0
1693888,Melanie,2.0
24892602,Melanie,1.0
2676861,Melanie,
379851,Melanie,18.0
23823057,Melanie,4.0
21132240,Melanie,7.0
6829329,Melanie,4.0
304428,Melanie,0.0
21764904,Melanie,11.0
10542206,Melanie,13.0
10214302,Melanie,2.0
2252823,Melanie,0.0
1934035,Melanie,4.0
22822894,Melanie,
21471797,Melanie,1.0
34465253,Melanie,0.0
12706663,Melanie,9.0
12709909,Melanie,5.0
468353,Melanie,2.0
25501212,Melanie,0.0
12898367,Melanie,5.0
975900,Ballard,0.0
2077360,Ballard,0.0
2077360,Ballard,3.0
1312584,Ballard,32.0
14420555,Ballard,3.0
733818,Ballard,7.0
123417,Ballard,38.0
26197151,Ballard,0.0
26197151,Ballard,1.0
26197151,Ballard,2.0
74942,Ballard,8.0
1584791,Ballard,10.0
20444120,Ballard,0.0
14143964,Ballard,7.0
24890661,Ballard,
22932043,Ballard,1.0
142461,Ballard,15.0
5469422,Ballard,0.0
5469422,Ballard,1.0
5469422,Ballard,2.0
5469422,Ballard,3.0
5449985,Ballard,5.0
