name,status,group_year,movie_id
elizabeth,t,1974,1358544
elizabeth,t,1974,3048950
elizabeth,t,1974,223904
elizabeth,t,1935,73376
elizabeth,t,1935,73375
elizabeth,t,1935,600132
elizabeth,t,1946,2279601
elizabeth,t,1946,7590753
elizabeth,t,1946,15280057
elizabeth,t,2012,25080984
elizabeth,t,2012,31775043
elizabeth,t,2012,30265620
elizabeth,b,1967,45126
elizabeth,b,1967,1096485
elizabeth,b,1967,4385591
elizabeth,b,1912,1709616
elizabeth,b,1912,15752401
elizabeth,b,1984,1896864
elizabeth,b,1984,967721
elizabeth,b,1984,10821674
elizabeth,i,2007,8775362
elizabeth,i,2003,2649312
elizabeth,i,2011,31176974
elizabeth,i,2001,2153973
elizabeth,i,1940,4829230
henry,t,2009,3213691
henry,t,2009,5016250
henry,t,2009,29446866
henry,t,1933,73488
henry,t,1933,73375
henry,t,1933,144774
henry,t,2003,197558
henry,t,2003,146947
henry,t,2003,1336308
henry,t,1961,4836072
henry,t,1961,18725026
henry,t,1961,22653289
henry,t,1989,64394
henry,t,1989,3217
henry,t,1989,685938
henry,i,2013,23252763
henry,i,2012,34224014
henry,i,1995,15313145
henry,i,1973,20138476
henry,i,1999,18813111
duke,t,2012,16352214
duke,t,2012,32636880
duke,t,2012,22814902
duke,i,1998,17120757
duke,i,2001,1139962
duke,i,2004,3581722
duke,i,1992,1913775
duke,i,2006,15453651
ash,t,2012,3112909
ash,t,2012,29399698
ash,t,1995,3217
ash,t,1995,2460704
ash,t,1995,1330432
ash,i,1979,23487440
ash,i,2004,9086113
ash,i,2002,549902
ash,i,2006,8438951
ash,i,2007,8796916
williams,i,2000,3955890
williams,i,2008,10542206
williams,i,2007,5017604
williams,i,2009,18454887
williams,i,1996,1494750
lord,i,2011,32636880
lord,i,2001,10157628
lord,i,2005,3208449
lord,i,2009,19308640
lord,i,2007,12850795
sheila,t,1979,747689
sheila,t,1979,10030059
sheila,t,1997,277149
sheila,t,1997,232795
sheila,t,1997,204839
sheila,b,1964,1748912
sheila,b,1964,1888433
sheila,b,1964,13130748
sheila,i,2010,28084941
sheila,i,1992,3217
sheila,i,2007,5101743
sheila,i,1995,54160
sheila,i,2006,2295405
arthur,t,1962,3650653
