wiki_ID,char_words,gender
975900,Lieutenant,F
7668793,Lieutenant,M
24226493,Lieutenant,M
3388805,Lieutenant,M
8231713,Lieutenant,M
30920276,Lieutenant,M
7133211,Lieutenant,M
19767434,Lieutenant,M
1328188,Lieutenant,M
6641561,Lieutenant,M
1148228,Lieutenant,M
24491249,Lieutenant,M
46505,Lieutenant,F
481649,Lieutenant,M
34037117,Lieutenant,F
12636214,Lieutenant,M
21684023,Lieutenant,M
28327,Lieutenant,M
29836631,Lieutenant,M
7788006,Lieutenant,M
19268430,Lieutenant,M
6250660,Lieutenant,M
10742864,Lieutenant,M
9487056,Lieutenant,M
23410377,Lieutenant,M
27382757,Lieutenant,M
2595680,Lieutenant,M
20765561,Lieutenant,M
3461278,Lieutenant,M
1584998,Lieutenant,M
14884989,Lieutenant,M
161190,Lieutenant,F
10671108,Lieutenant,M
1238102,Lieutenant,M
30862978,Lieutenant,M
345105,Lieutenant,M
18774910,Lieutenant,F
1343165,Lieutenant,M
7223822,Lieutenant,M
36465188,Lieutenant,M
26334071,Lieutenant,M
21109961,Lieutenant,M
2910322,Lieutenant,F
33402172,Lieutenant,F
14725310,Lieutenant,M
1252259,Lieutenant,M
1252259,Lieutenant,
7081597,Lieutenant,
341538,Lieutenant,M
1770836,Lieutenant,M
14512268,Lieutenant,M
31952713,Lieutenant,M
1128661,Lieutenant,M
172534,Lieutenant,M
367085,Lieutenant,F
6223567,Lieutenant,M
10185770,Lieutenant,M
129585,Lieutenant,M
17608318,Lieutenant,M
26368328,Lieutenant,
35101788,Lieutenant,M
77685,Lieutenant,M
1022698,Lieutenant,M
26284204,Lieutenant,M
649482,Lieutenant,M
8994,Lieutenant,M
33948002,Lieutenant,M
29785,Lieutenant,M
18895212,Lieutenant,M
89397,Lieutenant,M
3709021,Lieutenant,M
36245692,Lieutenant,M
41528,Lieutenant,M
3837375,Lieutenant,M
24314116,Lieutenant,M
24658454,Lieutenant,M
18951054,Lieutenant,M
34930722,Lieutenant,M
12283093,Lieutenant,M
1076789,Lieutenant,M
15625046,Lieutenant,M
27345864,Lieutenant,M
7354153,Lieutenant,M
1689394,Lieutenant,M
16309183,Lieutenant,M
15938122,Lieutenant,
4338749,Lieutenant,M
33495307,Lieutenant,M
20713868,Lieutenant,M
26866490,Lieutenant,M
14013923,Lieutenant,
129295,Lieutenant,
8695,Lieutenant,M
113460,Lieutenant,M
14760799,Lieutenant,M
545187,Lieutenant,M
22318957,Lieutenant,M
4440277,Lieutenant,M
12498936,Lieutenant,F
238906,Lieutenant,F
32427135,Lieutenant,M
675832,Lieutenant,M
23795488,Lieutenant,M
14127869,Lieutenant,M
5679960,Lieutenant,M
11142316,Lieutenant,M
3191002,Lieutenant,M
12135919,Lieutenant,M
18725026,Lieutenant,M
21848857,Lieutenant,M
29129487,Lieutenant,M
3911312,Lieutenant,M
26806217,Lieutenant,M
1190590,Lieutenant,M
19062669,Lieutenant,M
1139763,Lieutenant,M
1145800,Lieutenant,M
10552268,Lieutenant,M
21031907,Lieutenant,F
418110,Lieutenant,M
5531995,Lieutenant,M
5334800,Lieutenant,M
962431,Lieutenant,M
620034,Lieutenant,M
4821517,Lieutenant,M
20331301,Lieutenant,F
33064132,Lieutenant,M
612803,Lieutenant,M
21249371,Lieutenant,M
2198959,Lieutenant,M
5794648,Lieutenant,M
3830281,Lieutenant,M
7845053,Lieutenant,M
19250997,Lieutenant,M
13409931,Lieutenant,M
4266695,Lieutenant,
1295625,Lieutenant,
22315908,Lieutenant,M
672934,Lieutenant,M
14404921,Lieutenant,M
24165842,Lieutenant,M
27097,Lieutenant,F
30327,Lieutenant,M
15056534,Lieutenant,M
4592959,Lieutenant,M
27352110,Lieutenant,M
3701905,Lieutenant,M
6551171,Lieutenant,M
22528658,Lieutenant,M
20917102,Lieutenant,M
786972,Lieutenant,M
171026,Lieutenant,M
12000,Lieutenant,M
11925733,Lieutenant,M
1428048,Lieutenant,M
11020906,Lieutenant,F
30863819,Lieutenant,M
25567261,Lieutenant,M
28834684,Lieutenant,M
509987,Lieutenant,M
24051463,Lieutenant,M
26508343,Lieutenant,M
28084941,Lieutenant,M
5971762,Lieutenant,M
975900,Melanie,F
394792,Melanie,F
4173594,Melanie,F
10133100,Melanie,F
8982671,Melanie,F
1934018,Melanie,F
238810,Melanie,F
4362030,Melanie,F
1484119,Melanie,F
10542644,Melanie,F
3862631,Melanie,F
1192770,Melanie,F
2804704,Melanie,F
231486,Melanie,F
29545870,Melanie,F
2423462,Melanie,F
1721255,Melanie,F
4595569,Melanie,F
23438736,Melanie,F
20765579,Melanie,F
4078865,Melanie,F
20985883,Melanie,F
19250235,Melanie,F
24384740,Melanie,F
2654186,Melanie,F
1693888,Melanie,F
24892602,Melanie,F
2676861,Melanie,F
379851,Melanie,F
23823057,Melanie,F
21132240,Melanie,F
6829329,Melanie,F
304428,Melanie,F
21764904,Melanie,F
10542206,Melanie,F
10214302,Melanie,F
2252823,Melanie,F
1934035,Melanie,F
22822894,Melanie,F
21471797,Melanie,F
34465253,Melanie,F
12706663,Melanie,F
12709909,Melanie,F
468353,Melanie,F
25501212,Melanie,F
12898367,Melanie,F
975900,Ballard,F
2077360,Ballard,M
2077360,Ballard,F
1312584,Ballard,M
14420555,Ballard,M
733818,Ballard,M
123417,Ballard,M
26197151,Ballard,F
26197151,Ballard,M
74942,Ballard,F
1584791,Ballard,M
20444120,Ballard,M
14143964,Ballard,M
24890661,Ballard,M
22932043,Ballard,F
142461,Ballard,M
5469422,Ballard,M
5449985,Ballard,M
18123554,Ballard,M
975900,Williams,M
24291753,Williams,M
3662683,Williams,M
28763446,Williams,M
8969928,Williams,F
27888833,Williams,F
4608141,Williams,M
10709040,Williams,M
11950831,Williams,M
5733528,Williams,M
1443093,Williams,F
1392052,Williams,M
17323415,Williams,M
1940533,Williams,M
23615900,Williams,M
299016,Williams,M
21922672,Williams,F
2599640,Williams,M
2541685,Williams,M
21093009,Williams,M
3907848,Williams,F
33194261,Williams,F
922145,Williams,M
10638177,Williams,M
2229575,Williams,M
10433895,Williams,M
1952976,Williams,M
6250660,Williams,M
12894538,Williams,F
23831370,Williams,M
25526577,Williams,M
1979808,Williams,F
23006569,Williams,F
6170272,Williams,F
6170272,Williams,
31223331,Williams,M
4890837,Williams,F
1252914,Williams,M
28983795,Williams,M
24233189,Williams,F
24233189,Williams,M
13475461,Williams,M
18841979,Williams,M
640040,Williams,M
640040,Williams,F
9901279,Williams,F
1620539,Williams,M
6135427,Williams,M
24051154,Williams,M
3088107,Williams,M
21646685,Williams,M
18454887,Williams,M
19015646,Williams,F
8364339,Williams,M
29836726,Williams,M
18992327,Williams,M
1278575,Williams,M
24808831,Williams,F
12621957,Williams,F
7141343,Williams,M
7323731,Williams,M
15103329,Williams,F
451817,Williams,F
22643427,Williams,F
13799441,Williams,M
2535397,Williams,M
26120493,Williams,M
26015247,Williams,M
14878446,Williams,F
2265234,Williams,M
16475684,Williams,M
25490826,Williams,F
31165238,Williams,F
25125167,Williams,M
7846363,Williams,M
5603725,Williams,M
30296356,Williams,F
24152572,Williams,F
21086574,Williams,M
14307697,Williams,M
14307697,Williams,F
11610890,Williams,M
17651907,Williams,F
35908571,Williams,M
1998039,Williams,F
7354153,Williams,M
4846576,Williams,F
19250235,Williams,M
2663129,Williams,M
33002698,Williams,F
33002698,Williams,M
27279709,Williams,F
171568,Williams,M
23548511,Williams,M
33192982,Williams,M
21209407,Williams,M
2887831,Williams,M
4734333,Williams,M
18025932,Williams,F
18025932,Williams,M
74018,Williams,M
142469,Williams,F
9459581,Williams,M
13292846,Williams,M
22318957,Williams,M
3217,Williams,M
8863185,Williams,F
5651515,Williams,F
3947,Williams,F
3947,Williams,M
591309,Williams,F
30296552,Williams,M
30296552,Williams,F
2002320,Williams,F
32693221,Williams,F
3616144,Williams,M
18725026,Williams,
2045991,Williams,F
24862266,Williams,M
1383548,Williams,M
214783,Williams,M
29129487,Williams,M
17874058,Williams,M
10192270,Williams,M
7815867,Williams,F
7815867,Williams,M
1194710,Williams,M
1501461,Williams,M
20391295,Williams,F
295973,Williams,
8948359,Williams,M
6268641,Williams,F
10770671,Williams,M
18473521,Williams,M
20431870,Williams,M
5017604,Williams,M
5673173,Williams,M
714334,Williams,M
2918858,Williams,F
4920728,Williams,F
3565461,Williams,F
3565461,Williams,M
34992096,Williams,F
755231,Williams,M
11604193,Williams,M
5316938,Williams,M
5150901,Williams,F
77223,Williams,
5148493,Williams,M
24202060,Williams,M
11936219,Williams,F
13729387,Williams,F
10542206,Williams,M
2949827,Williams,M
7102278,Williams,F
27423486,Williams,M
15871997,Williams,M
6103640,Williams,M
2425809,Williams,M
3992363,Williams,M
17594022,Williams,M
21282769,Williams,M
1957324,Williams,M
177906,Williams,F
177906,Williams,M
3170260,Williams,F
2524772,Williams,M
9294,Williams,M
28059811,Williams,
13670373,Williams,F
724258,Williams,F
689549,Williams,F
1494750,Williams,F
3168732,Williams,F
3088906,Williams,M
10193,Williams,M
32799797,Williams,F
24607828,Williams,F
10487,Williams,M
3955890,Williams,M
3955890,Williams,F
905530,Williams,F
171628,Williams,F
13141359,Williams,F
16418258,Williams,M
5921551,Williams,M
3276167,Williams,M
1421510,Williams,M
2156510,Williams,F
161450,Williams,M
3718428,Williams,M
3421880,Williams,M
15072401,Williams,M
695435,Williams,M
5452611,Williams,F
21450904,Williams,M
32840911,Williams,M
4110259,Williams,M
22427855,Williams,M
975900,Jericho,M
1241597,Jericho,M
2069002,Jericho,M
32842014,Jericho,M
9409095,Jericho,M
2837025,Jericho,M
13670373,Jericho,M
22333286,Jericho,M
8834970,Jericho,M
975900,Butler,M
10366326,Butler,M
7965439,Butler,M
22546305,Butler,M
28886150,Butler,M
29012443,Butler,M
31701975,Butler,M
22561292,Butler,F
29460674,Butler,M
4704124,Butler,M
2405186,Butler,M
3011117,Butler,M
3266563,Butler,M
7629716,Butler,M
24200166,Butler,M
15738569,Butler,M
30505130,Butler,M
585824,Butler,M
2804704,Butler,M
2804704,Butler,F
24199899,Butler,M
24162411,Butler,M
14411179,Butler,M
14241872,Butler,
8670809,Butler,M
15880696,Butler,M
13391536,Butler,M
20568913,Butler,M
2098803,Butler,F
600216,Butler,M
24069500,Butler,M
17680639,Butler,F
6233638,Butler,M
73402,Butler,M
16310797,Butler,M
1247973,Butler,M
19729210,Butler,F
12217100,Butler,M
22643258,Butler,M
7368729,Butler,M
2877584,Butler,M
22466518,Butler,M
4836072,Butler,M
6074231,Butler,M
22833569,Butler,F
3723947,Butler,M
1645598,Butler,M
30224624,Butler,F
33314767,Butler,M
23731682,Butler,M
24062783,Butler,M
682393,Butler,M
22643309,Butler,M
14568591,Butler,M
10469675,Butler,M
9477743,Butler,M
1048388,Butler,M
12157297,Butler,M
19378889,Butler,M
11244593,Butler,M
22110321,Butler,M
19802726,Butler,M
28174450,Butler,M
3116175,Butler,M
33232265,Butler,M
23995219,Butler,
1546168,Butler,M
3159738,Butler,M
19745387,Butler,M
5578994,Butler,F
32477039,Butler,
14444608,Butler,M
3396829,Butler,F
1296482,Butler,M
5079650,Butler,M
2726812,Butler,M
21807476,Butler,F
16927051,Butler,M
2109157,Butler,M
24094515,Butler,M
25765787,Butler,M
32136308,Butler,M
31722286,Butler,M
33025445,Butler,M
17050526,Butler,M
27602436,Butler,M
22816517,Butler,M
28786108,Butler,
4901569,Butler,M
52389,Butler,
7600911,Butler,M
14259399,Butler,M
19149675,Butler,M
8949772,Butler,M
6744353,Butler,M
21618384,Butler,M
975900,Bashira,F
975900,Kincaid,F
24234740,Kincaid,M
30865068,Kincaid,M
5533243,Kincaid,M
19240936,Kincaid,M
19240936,Kincaid,F
2098803,Kincaid,F
2098803,Kincaid,M
2729561,Kincaid,M
9881864,Kincaid,M
24199741,Kincaid,M
1188393,Kincaid,M
1188393,Kincaid,F
5073747,Kincaid,M
3549346,Kincaid,F
3038038,Kincaid,M
20979100,Kincaid,F
1194710,Kincaid,M
14644393,Kincaid,M
617535,Kincaid,M
600351,Kincaid,M
1605227,Kincaid,M
1605227,Kincaid,
2073415,Kincaid,M
28066657,Kincaid,M
28066657,Kincaid,F
5245540,Kincaid,F
5245540,Kincaid,M
12674042,Kincaid,M
975900,Helena,F
23318059,Helena,F
20783851,Helena,F
31704157,Helena,F
26111191,Helena,F
21250434,Helena,F
515151,Helena,F
166813,Helena,F
7543423,Helena,F
17064256,Helena,F
1897450,Helena,F
22643043,Helena,F
31941988,Helena,F
3590838,Helena,F
77460,Helena,F
7208007,Helena,F
18903759,Helena,F
10591637,Helena,F
37599,Helena,F
10934072,Helena,F
21871251,Helena,F
6046110,Helena,F
9947055,Helena,F
6264910,Helena,F
667361,Helena,F
649185,Helena,F
24854885,Helena,F
13093453,Helena,F
5146327,Helena,
9979,Helena,F
14262447,Helena,F
27662471,Helena,F
1784755,Helena,F
27360673,Helena,
18788912,Helena,F
18531768,Helena,F
13412180,Helena,F
32065969,Helena,F
20956661,Helena,F
21208777,Helena,F
32208443,Helena,F
3732839,Helena,F
21547263,Helena,F
25223887,Helena,F
143483,Helena,F
2926668,Helena,F
7046343,Helena,F
975900,Braddock,F
12381574,Braddock,F
9461535,Braddock,M
5480913,Braddock,M
1424754,Braddock,M
1424754,Braddock,F
