wiki_ID,wikidata_ID
18998739,
9997961,
20604092,
31025505,
77856,Q209170
156558,Q607122
171005,Q114115
175024,Q729807
175026,Q1579725
261236,Q869644
261237,Q647665
612710,Q976048
975900,Q261700
1364293,Q2318140
2314463,Q5357294
2345652,Q194106
2487170,Q7845571
3196793,Q16250726
6631279,Q6649585
9363483,Q7995657
9548445,Q4786598
9633533,Q7914357
9912533,Q5191841
10275424,Q3569754
10408933,Q1619977
11250635,Q7750838
11448183,Q4914022
13696889,Q3067285
13711159,Q7764700
17715326,Q3183844
18296435,Q12808250
21344842,Q6841195
21926710,Q7995659
22087420,Q3742607
24229100,Q840296
25960460,Q1156971
26067101,Q2943754
26623942,Q6378965
26878691,Q7719877
27611999,Q7574544
28463795,Q4978832
29528534,Q4769893
29772142,Q6368890
30388930,Q4560603
31323091,Q1337262
31983669,Q1967124
32445576,Q7931407
32456683,Q1212293
33420460,Q6383159
33427105,Q1452676
23799443,
19929835,
273431,Q1987819
1254263,Q1520388
1369204,Q1710735
2647998,Q2534503
3645672,Q531827
4951456,Q535500
5664529,Q3561683
5708633,Q3521141
5894429,Q1102541
5915856,Q6098323
7028314,Q1218719
7252019,Q5023006
7364373,Q587925
11353896,Q3423450
11633165,Q6785706
11996174,Q4661283
12008535,Q2382723
12053509,Q1030728
12371532,Q3206537
12788657,Q659896
13281430,Q6946116
14301436,Q3747105
14631844,Q1516837
16686643,Q7093204
19494009,Q6421028
20334086,Q7933486
20944359,Q4686580
21153158,Q4880883
21235485,Q1459137
21449578,Q1768770
21958879,Q4009692
24039457,Q6494619
24399617,Q2319947
24761154,Q6945505
25413122,Q5309291
26776017,Q7333669
27374355,Q3233314
29198000,Q1061778
29832307,
31026308,Q7559319
31137877,Q4931222
31156641,Q6965941
31304361,Q7768095
31322464,Q8059264
31323885,Q7557209
32104837,Q16254893
32224700,Q4659271
36009421,
3222645,
164387,Q426517
164388,Q1757216
1072373,Q1728088
1630107,Q602236
1765938,Q510388
2154704,Q5104200
2659373,Q3426138
3550323,Q1169589
3740032,Q3024556
3873713,Q6513421
4300418,Q2411930
7443859,Q7733914
7460227,Q7720057
7572051,Q696163
7707787,Q621565
7767613,Q3496921
8669450,Q7093197
9380065,Q4726425
9390791,Q5740455
10419077,Q7278412
10628777,Q7159057
10792038,Q16248340
11717027,Q3154705
17683792,Q6844217
17780234,Q4853821
18109665,Q7757158
18902861,Q1325891
19095614,Q1170277
20204625,Q5593954
21373150,Q6844178
21878654,Q5643150
22066590,Q3793112
22985953,Q2469801
24196090,Q7776134
24282217,Q492020
24863901,Q4596035
26615659,Q7654035
27556929,Q12112900
28028248,Q7740536
28301986,Q5275489
28415406,Q7746132
28937087,Q429965
29375144,Q3225974
29766415,Q127177
30002176,Q7755881
30246289,Q226193
31153831,Q3575216
31723287,Q5600164
33059372,Q5113757
12142896,
32839744,
180917,Q1857747
196176,Q1163628
748616,Q494871
1031231,Q159808
1305819,Q1022352
2509881,Q1140559
3513305,Q7774021
4040882,Q7775930
6305925,Q751709
6342767,Q1488507
6752142,Q1110797
9169526,Q4690460
9912537,Q13497077
9944484,Q784812
12409066,Q6373971
12438366,Q6809690
12832450,Q5121271
